10-08-2023_16-537999 Slider snapped to keypoint
10-08-2023_16-538000 Slider snapped to keypoint
10-08-2023_16-538000 Slider snapped to keypoint
10-08-2023_16-538001 Slider snapped to keypoint
10-08-2023_16-538001 Slider snapped to keypoint
10-08-2023_16-538002 Slider snapped to keypoint
10-08-2023_16-538002 Slider snapped to keypoint
10-08-2023_16-538003 Slider snapped to keypoint
10-08-2023_16-538003 Slider snapped to keypoint
10-08-2023_16-538020 Slider released
10-08-2023_16-538516 Key Point mode selected
10-08-2023_16-5314250 Eraser mode selected
10-08-2023_16-5415483 Line drawing mode selected
10-08-2023_16-5415841 Left click initiated on Relaxation (UnityEngine.Canvas) canvas
10-08-2023_16-5415841 Line drawn from existing line on Relaxation (UnityEngine.Canvas) canvas
10-08-2023_16-5416439 Slider clicked
10-08-2023_16-5416443 Slider snapped to keypoint
10-08-2023_16-5416443 Slider snapped to keypoint
10-08-2023_16-5416444 Slider snapped to keypoint
10-08-2023_16-5416444 Slider snapped to keypoint
10-08-2023_16-5416445 Slider snapped to keypoint
10-08-2023_16-5416445 Slider snapped to keypoint
10-08-2023_16-5416446 Slider snapped to keypoint
10-08-2023_16-5416446 Slider snapped to keypoint
10-08-2023_16-5416447 Slider snapped to keypoint
10-08-2023_16-5416447 Slider snapped to keypoint
10-08-2023_16-5416448 Slider snapped to keypoint
10-08-2023_16-5416448 Slider snapped to keypoint
10-08-2023_16-5416449 Slider snapped to keypoint
10-08-2023_16-5416449 Slider snapped to keypoint
10-08-2023_16-5416454 Slider snapped to keypoint
10-08-2023_16-5416454 Slider snapped to keypoint
10-08-2023_16-5416455 Slider snapped to keypoint
10-08-2023_16-5416455 Slider snapped to keypoint
10-08-2023_16-5416456 Slider snapped to keypoint
10-08-2023_16-5416456 Slider snapped to keypoint
10-08-2023_16-5416458 Slider snapped to keypoint
10-08-2023_16-5416458 Slider snapped to keypoint
10-08-2023_16-5416461 Slider snapped to keypoint
10-08-2023_16-5416461 Slider snapped to keypoint
10-08-2023_16-5416462 Slider snapped to keypoint
10-08-2023_16-5416462 Slider snapped to keypoint
10-08-2023_16-5416463 Slider snapped to keypoint
10-08-2023_16-5416463 Slider snapped to keypoint
10-08-2023_16-5416464 Slider snapped to keypoint
10-08-2023_16-5416464 Slider snapped to keypoint
10-08-2023_16-5416465 Slider snapped to keypoint
10-08-2023_16-5416465 Slider snapped to keypoint
10-08-2023_16-5416467 Slider snapped to keypoint
10-08-2023_16-5416467 Slider snapped to keypoint
10-08-2023_16-5416469 Slider snapped to keypoint
10-08-2023_16-5416469 Slider snapped to keypoint
10-08-2023_16-5416470 Slider snapped to keypoint
10-08-2023_16-5416470 Slider snapped to keypoint
10-08-2023_16-5416472 Slider snapped to keypoint
10-08-2023_16-5416472 Slider snapped to keypoint
10-08-2023_16-5416474 Slider snapped to keypoint
10-08-2023_16-5416474 Slider snapped to keypoint
10-08-2023_16-5416499 Slider snapped to keypoint
10-08-2023_16-5416499 Slider snapped to keypoint
10-08-2023_16-5416504 Slider released
10-08-2023_16-5416700 Key Point mode selected
10-08-2023_16-5418294 Eraser mode selected
10-08-2023_16-5418602 Eraser mode deselected
10-08-2023_16-5421007 Line validation passed
10-08-2023_16-5421007 Points found below/above line on Fear (UnityEngine.Canvas) canvas
10-08-2023_16-5421007 Export window opened
10-08-2023_16-5421732 Export window closed
10-08-2023_16-5422091 Eraser mode selected
10-08-2023_16-5422591 Eraser mode deselected
10-08-2023_16-5523305 Line validation passed
10-08-2023_16-5523305 Points found below/above line on Fear (UnityEngine.Canvas) canvas
10-08-2023_16-5523305 Export window opened
10-08-2023_16-5523416 Export window closed
10-08-2023_16-5523968 Eraser mode selected
10-08-2023_16-5524438 Line drawing mode selected
10-08-2023_16-5524480 Key Point mode selected
10-08-2023_16-5525045 Eraser mode selected
10-08-2023_16-5525330 Line drawing mode selected
10-08-2023_16-5525363 Key Point mode selected
